A2WC012E v68 AF Correction 16-bit RAM literal trace
target float: 0xFFFFB538
target mirror: 0xFFFFB330

16-bit sign-extended refs in FFFFB000-FFFFB8FF: 1843
pc=0x018AE4 op=9E3F literal=0x018B66 word=B163 value=0xFFFFB163 -> r14
pc=0x018C3A op=9032 literal=0x018CA2 word=B163 value=0xFFFFB163 -> r0
pc=0x018C4C op=9029 literal=0x018CA2 word=B163 value=0xFFFFB163 -> r0
pc=0x018D16 op=9086 literal=0x018E26 word=B162 value=0xFFFFB162 -> r0
pc=0x018D2C op=907B literal=0x018E26 word=B162 value=0xFFFFB162 -> r0
pc=0x018D42 op=9071 literal=0x018E28 word=B164 value=0xFFFFB164 -> r0
pc=0x018D58 op=9067 literal=0x018E2A word=B163 value=0xFFFFB163 -> r0
pc=0x018D70 op=9C59 literal=0x018E26 word=B162 value=0xFFFFB162 -> r12
pc=0x018F06 op=9436 literal=0x018F76 word=B164 value=0xFFFFB164 -> r4
pc=0x018F60 op=900A literal=0x018F78 word=B1E7 value=0xFFFFB1E7 -> r0
pc=0x018FCC op=926F literal=0x0190AE word=B14C value=0xFFFFB14C -> r2
pc=0x018FDC op=9268 literal=0x0190B0 word=B150 value=0xFFFFB150 -> r2
pc=0x018FFC op=9157 literal=0x0190AE word=B14C value=0xFFFFB14C -> r1
pc=0x019034 op=923C literal=0x0190B0 word=B150 value=0xFFFFB150 -> r2
pc=0x019110 op=9268 literal=0x0191E4 word=B15C value=0xFFFFB15C -> r2
pc=0x019128 op=935D literal=0x0191E6 word=B218 value=0xFFFFB218 -> r3
pc=0x01912E op=925B literal=0x0191E8 word=B204 value=0xFFFFB204 -> r2
pc=0x019178 op=9234 literal=0x0191E4 word=B15C value=0xFFFFB15C -> r2
pc=0x01917A op=9037 literal=0x0191EC word=B1E6 value=0xFFFFB1E6 -> r0
pc=0x019198 op=9329 literal=0x0191EE word=B158 value=0xFFFFB158 -> r3
pc=0x0191AE op=901F literal=0x0191F0 word=B1E7 value=0xFFFFB1E7 -> r0
pc=0x0191D0 op=940F literal=0x0191F2 word=B163 value=0xFFFFB163 -> r4
pc=0x0191D2 op=920C literal=0x0191EE word=B158 value=0xFFFFB158 -> r2
pc=0x019262 op=9569 literal=0x019338 word=B163 value=0xFFFFB163 -> r5
pc=0x019264 op=9469 literal=0x01933A word=B164 value=0xFFFFB164 -> r4
pc=0x0192CC op=9436 literal=0x01933C word=B1E6 value=0xFFFFB1E6 -> r4
